ISO,Jurisdiction,Credit risk,Operational risk,Market risk,Pillar II,Pillar III,Statute
ALB,Albania,standardised approach ,Standardised approach ,Standardised approach,,Pillar III,4
DZA,Algeria,standardised approach ,standardised approach ,standardised approach ,Pillar II,Pillar III,4
AGO,Angola,advanced approach,Basic approach,standardised approach ,,,6
ARM,Armenia,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,6
ABM,Aruba,No Basel II,,,,,0
BHS,Bahamas,Standardised approach ,Standardised approach ,,Pillar II,Pillar III,6
BHR,Bahrain,Standardised approach ,Standardised approach ,Standardised approach,,Pillar III,6
BGD,Bangladesh,Standardised approach ,Basic approach,Standardised approach,PIllar II,Pillar III,6
BRB,Barbados,No Basel II,,,,,0
BLR,Belarus,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,6
BLZ,Belize,No Basel II,,,,,0
BMU,Bermuda,standardised approach ,standardised approach ,,Pillar II,Pillar III,6
BTN,Bhutan,No Basel II,,,,,0
BOL,Bolivia,Advanced approach,Advanced approach,Advanced approach,Pillar II,Pillar III,8
BIH,Bosnia and Herzegovinia,,Standardised approach ,,,,2
BWA,Botswana,standardised approach ,basic approach,,Pillar II,Pillar III,2
VGB,British Virgin Islands,No Basel II,,,,,0
BRN,Brunei,Standardised approach ,Basic approach,,,,2
CYM,Cayman Islands,Standardised approach ,standardised approach ,S,Pillar II,,4
CHL,Chile,No Basel II, , , , ,0
TWN,Chinese Taipei,Advanced approach,Advanced approach,Advanced approach,PIllar II,Pillar III,6
COL,Colombia,Standardised approach ,Standardised approach ,,,Pillar III,6
COD,Democratic Republic of the Congo,No Basel II,,,,,0
COK,Cook Islands,Standardised approach ,,,,Pillar II,4
CRI,Costa Rica,Standardised approach ,Basic approach,,,,2
CUB,Cuba,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,6
SXM,Cuaçao and Sint Maarten,No Basel II,,,,,2
DOM,Dominican Republic,,Basic approach,,,,2
ECU,Ecuador,Standardised approach ,,,,,2
EGY,Egypt,Advanced approach,Advanced approach,,Pillar II,Pillar III,6
SLV,El Salvador,No Basel II,,,,,0
FJI,Fiji ,No Basel II,,,,,0
GMB,Gambia,No Basel II,,,,,0
GEO,Georgia,Standardised approach ,Basic approach,Standardised approach,Pillar II,,6
GHA,Ghana,No Basel II,,,,,0
GIB,Gibraltar,Advanced approach,Advanced approach,Advanced approach,Pillar II,Pillar III,8
GTM,Guatemala,Standardised approach ,,,Pillar II,,2
GGY,Guernsey,Standardised approach ,Standardised approach ,,Pillar II,,4
GIN,Guinea,,,,Pillar II,,2
GUY,Guyana,No Basel II,,,,,0
HTI,Haiti,No Basel II,,,,,0
HND,Honduras,No Basel II,,,Pillar II,Pillar III,0
ISL,Iceland,Advanced approach,Advanced approach,Advanced approach,Pillar II,Pillar III,8
IMN,Isle of Man,Standardised approach ,Standardised approach ,Standardised approach,Pillar II,,4
ISR,Israel ,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,6
JAM,Jamaica,No Basel II,,,,,0
JEY,Jersey,Standardised approach ,Standardised approach ,Standardised approach,Pillar II,,4
JOR,Jordan,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,6
KEN,Kenya,,Basic approach,Standardised approach,,,4
RKS,Kosovo,Standardised approach ,Standardised approach ,,,,4
KWT,Kuwait,Standardised approach ,Basic approach,,Pillar II,Pillar III,6
KGZ,Kyrgyz Republic,No Basel II,,,,,0
LAO,Laos,No Basel II,,,,,0
LBN,Lebanon,Standardised approach ,Basic approach,Standardised approach,Pillar II,,4
LSO,Lesotho,Standardised approach ,Standardised approach ,Standardised approach,,,4
LBR,Liberia,Standardised approach ,,,Pillar II,,4
LIE,Liechtenstein,Advanced approach,Advanced approach,Advanced approach,Pillar II,Pillar II,8
MAC,Macao,Standardised approach ,Basic approach,,,Pillar III,2
MKD,Macedonia,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,6
MDG,Madagascar,No Basel II,,,,,0
MWI,Malawi,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,4
MYS,Malaysia,Advanced approach,Basic approach,Advanced approach,Pillar II,Pillar III,8
MUS,Mauritus,Standardised approach ,Advanced approach,Standardised approach,Pillar II,Pillar III,8
MDA,Moldova,No Basel II,,,,,0
MNG,Mongolia,Standardised approach ,Basic approach,,,,2
MON,Montenegro,Standardised approach ,Basic approach,,Pillar II,Pillar III,4
MAR,Morocco,advanced approach,advanced approach,,Pillar II,Pillar III,8
MOZ,Mozambique,standardised approach ,basic approach,,pillar II,pillar III,6
NAM,Namibia,,Basic approach,Standardised approach ,Pillar II,Pillar III,6
NPL,Nepal,,Basic approach,,Pillar II,Pillar III,2
NZL,New Zealand,Advanced approach,Basic approach,Standardised approach,Pillar II,PIllar III,6
NGA,Nigeria,Standardised approach ,Basic approach,Standardised approach ,Pillar II,Pillar III,6
NOR,Norway,Advanced approach,Advanced approach,Advanced approach,Pillar II,Pillar III,8
OMN,Oman,standardised approach ,basic approach,,Pillar II,Pillar III,4
PAK,Pakistan,Advanced approach,Basic approach,Advanced approach,Pillar II,Pillar III,8
PAN,Panama,,,Standardised approach,Pillar II,,2
PNG,Papua New Guinea,No Basel II,,,,,0
PRY,Paraguay,No Basel II,,,,,0
PER,Peru ,Advanced approach,Advanced approach,Advanced approach,,,8
PHL,Philippines,Standardised approach ,Basic approach,Advanced approach,Pillar II,Pillar III,6
QAT,Qatar,Standardised approach ,Basic approach,,,,2
SCG,Serbia,Advanced approach,Advanced approach,Advanced approach,Pillar II,Pillar III,8
SYC,Seychelles,,Basic approach,,,,2
LKA,Sri Lanka,Standardised approach ,standardised approach ,Standardised approach,Pillar II,Pillar III,6
KNA,St Kitts and Nevis,No Basel II,,,,,0
SWZ,Swaziland,Advanced approach,Advanced approach,Advanced approach,Pillar II,Pillar III,8
TZA,Tanzania,No Basel II,,,,,0
THA,Thailand,Advanced approach,Advanced approach,,Pillar II,Pillar III,8
TTO,Trinidad and Tobago,Standardised approach ,Basic approach,,,,2
TUN,Tunisia,,,,Pillar II,Pillar III,2
TCA,Turks and Caicos Islands,No Basel II,,,,,0
UGA,Uganda,,,Standardised approach,Pillar II,Pillar III,2
ARE,United Arab Emirates,Advanced approach,Basic approach,Standardised approach,Pillar II,Pillar III,4
URY,Uruguay,Standardised approach ,Basic approach,Standardised approach,Pillar II,Pillar III,4
VUT,Vanuatu,Standardised approach ,Basic approach,Standardised approach,Pillar II,,4
VNM,Vietnam,No Basel II,,,,,0
ZMB,Zambia,No Basel II,,,,,0
ZWE,Zimbabwe,Advanced approach,advanced approach,,Pillar II,Pillar III,8
ARG,Argentina,BCBS member,,,,,10
AUS,Australia,BCBS member,,,,,10
BEL,Belgium,BCBS member,,,,,10
BRA,Brazil,BCBS member,,,,,10
CAN,Canada,BCBS member,,,,,10
CHN,China,BCBS member,,,,,10
EU,European Union,BCBS member,,,,,10
FRA,France,BCBS member,,,,,10
DEU,Germany,BCBS member,,,,,10
HKG,Hong Kong,BCBS member,,,,,10
IND,India ,BCBS member,,,,,10
IDN,Indonesia,BCBS member,,,,,10
ITA,Italy ,BCBS member,,,,,10
JPN,Japan,BCBS member,,,,,10
KOR,Korea,BCBS member,,,,,10
LUX,Luxembourg,BCBS member,,,,,10
MEX,Mexico,BCBS member,,,,,10
NLD,Netherlands,BCBS member,,,,,10
RUS,Russia,BCBS member,,,,,10
SAU,Saudi Arabia,BCBS member,,,,,10
SGP,Singapore,BCBS member,,,,,10
ZAF,South Africa,BCBS member,,,,,10
ESP,Spain,BCBS member,,,,,10
SWE,Sweden ,BCBS member,,,,,10
CHE,Switzerland ,BCBS member,,,,,10
TUR,Turkey,BCBS member,,,,,10
GBR,United Kingdom,BCBS member,,,,,10
USA,United States,BCBS member,,,,,10
